Mean_Distance,Speed,Clustering Value
206.15,14,3
170.85,16,3
137.67,4,3
197.27,14,3
148.83,1,3
181.67,8,3
166.1,18,3
185.73,3,3
184.66,8,3
175.8,7,3
189.2,4,3
205.78,9,3
156.87,16,3
185.54,8,3
186.14,11,3
183.3,16,3
190.39,13,3
166.15,11,3
162.71,10,3
189.62,8,3
212.42,7,3
186.3,9,3
152.55,17,3
174.29,10,3
146.35,16,3
134.81,20,3
191.22,8,3
187.7,17,3
219.29,17,3
206.59,10,3
218.79,8,3
171.7,14,3
168.33,10,3
160.71,11,3
217.76,4,3
140.49,7,3
170.73,11,3
196.13,17,3
170.58,22,3
160.52,19,3
181.77,18,3
195.7,12,3
159.86,9,3
162.96,22,3
177.53,4,3
179.4,2,3
156.38,6,3
196.12,8,3
204.96,7,3
184.1,19,3
186.88,9,3
193.86,6,3
171.51,8,3
169.25,9,3
155.86,6,3
176.54,3,3
168.36,13,3
149.91,5,3
189.38,6,3
194.15,12,3
186.47,10,3
185.5,13,3
186.69,15,3
179.23,6,3
158.05,8,3
189.13,6,3
181.82,6,3
150.31,14,3
177.95,8,3
160.49,6,3
184.62,6,3
197.02,8,3
184.32,11,3
195.47,14,3
191.27,8,3
208.19,17,3
178.37,6,3
169.24,4,3
166.62,14,3
189.78,17,3
145.39,15,3
164.47,10,3
163.39,6,3
159.11,15,3
169.56,17,3
188.25,18,3
184.12,7,3
199.37,7,3
175.81,8,3
175.06,9,3
190.85,9,3
188.89,1,3
192.77,14,3
179.24,7,3
170.86,7,3
171.29,19,3
168.9,5,3
161.76,5,3
169.54,12,3
173.72,10,3
180.98,8,3
181.89,17,3
172.85,13,3
244.79,9,3
176.79,8,3
148.44,7,3
216.66,9,3
161.14,10,3
183.38,3,3
175.29,11,3
167.02,10,3
234.09,7,3
168.98,14,3
242.37,15,3
160.78,11,3
190.56,11,3
195.33,14,3
196.23,4,3
209.76,15,3
172.78,5,3
201.99,15,3
162.56,13,3
191.81,7,3
170.72,1,3
189.45,21,3
189.77,16,3
201.69,14,3
191.59,12,3
154.93,14,3
149.19,16,3
165.07,12,3
156.57,7,3
162.34,9,3
177.82,12,3
205.07,15,3
155.83,10,3
181.53,13,3
195.87,3,3
170.3,6,3
167.89,15,3
187.17,7,3
153.81,18,3
164.53,7,3
174.81,13,3
152.1,10,3
157.26,18,3
203.03,10,3
172.78,8,3
164.95,11,3
182.99,5,3
170.9,0,3
150.57,15,3
187.45,4,3
135.98,14,3
187.55,5,3
241.71,22,3
168.04,12,3
156.01,14,3
189.75,9,3
178.42,3,3
211.26,6,3
171.7,12,3
145.07,6,3
194.55,6,3
157.26,10,3
153.34,9,3
193.78,6,3
200.72,20,3
193.21,14,3
176.23,16,3
172.11,12,3
193.31,8,3
174.3,12,3
164.4,10,3
162.68,5,3
173.55,3,3
172.15,8,3
202.84,17,3
197.95,10,3
167.21,5,3
136.52,13,3
199.92,0,3
152.09,24,3
170.87,15,3
137.16,16,3
164.38,8,3
212.41,12,3
163.36,15,3
158.31,4,3
162.26,14,3
211.99,6,3
160.26,20,3
228.96,13,3
182.69,11,3
162.8,11,3
193.58,16,3
161.26,10,3
201.12,19,3
181.35,13,3
168.64,9,3
175.58,9,3
160.2,9,3
192.22,6,3
197.6,10,3
189.82,7,3
205.8,13,3
193.33,12,3
132.03,15,3
190.33,14,3
173.9,11,3
179.11,6,3
209.64,7,3
161.9,15,3
166.62,9,3
161.64,10,3
162.9,10,3
178.88,10,3
171.97,12,3
179.56,17,3
188.59,16,3
151.09,13,3
194.87,8,3
200.21,5,3
196.39,6,3
193.05,11,3
183.61,6,3
166.8,8,3
190.45,14,3
184.29,7,3
197.44,15,3
170.72,7,3
168.56,5,3
168.22,9,3
165.22,16,3
143.37,10,3
224.24,16,3
173.49,8,3
190.04,16,3
178.39,11,3
194.68,2,3
170.72,1,3
181.64,17,3
207.34,9,3
189.85,9,3
142.83,5,3
168.14,1,3
161.94,9,3
151.65,1,3
177.29,10,3
173.02,3,3
182.6,10,3
208.78,11,3
160.5,14,3
170.45,1,3
164.37,7,3
180.1,14,3
192.31,12,3
167.88,6,3
231.57,13,3
189.68,10,3
192.61,10,3
218.21,11,3
168.88,14,3
150,8,3
178.17,10,3
190.84,1,3
211.34,15,3
161.98,9,3
208.42,7,3
185.7,17,3
165.15,9,3
166.68,14,3
213.12,3,3
217.91,3,3
159.47,22,3
176.44,5,3
173.35,6,3
194.1,4,3
176.01,16,3
193.08,9,3
180.84,21,3
191.52,9,3
141.96,15,3
154.33,3,3
185.15,10,3
185.38,7,3
208.96,18,3
176.97,4,3
162.58,1,3
184.14,9,3
154.74,1,3
180.91,11,3
184.74,1,3
186.24,4,3
181.3,11,3
180.36,13,3
163.72,6,3
177.04,6,3
154.59,19,3
196.37,17,3
219.84,15,3
189.97,3,3
168.09,5,3
190.94,20,3
192.12,16,3
218.67,1,3
188.26,14,3
200.32,9,3
188.22,12,3
207.01,18,3
173.38,11,3
161.51,5,3
169.75,5,3
169.66,11,3
150.46,14,3
176.96,23,3
200.62,8,3
197.08,14,3
196.95,11,3
116.58,4,3
174.58,5,3
187.16,11,3
184.46,4,3
170.72,15,3
168.24,10,3
187.67,17,3
218.58,9,3
155.02,9,3
153.84,9,3
180.65,16,3
168.76,7,3
153.5,1,3
159.53,15,3
207.44,13,3
229.3,15,3
180.6,13,3
165.09,4,3
205.4,11,3
171.19,10,3
188.24,3,3
189.25,7,3
160.94,13,3
185.58,3,3
171.79,6,3
179.7,9,3
193.68,8,3
195.95,4,3
169.72,6,3
207.05,13,3
205.62,11,3
166.64,11,3
168.34,9,3
185.5,13,3
191.31,7,3
140.59,3,3
188.61,9,3
167.46,11,3
186.26,4,3
188.34,18,3
157.73,12,3
175.69,16,3
134.54,10,3
190.28,10,3
168.01,3,3
188.49,11,3
164.43,12,3
186.42,14,3
201.97,17,3
201.38,1,3
196.34,9,3
171.64,16,3
183.96,6,3
192.31,8,3
180.63,12,3
194.13,11,3
175.76,5,3
163.89,8,3
164.29,12,3
170.9,15,3
166.87,15,3
164.77,6,3
184.45,12,3
191.82,7,3
183.61,14,3
171.42,4,3
186.55,8,3
200.37,6,3
166.72,9,3
192.38,10,3
151.88,4,3
196.56,1,3
172.43,11,3
169.64,9,3
177.33,1,3
156.76,15,3
165.76,5,3
176.43,11,3
159.11,16,3
186.67,15,3
169.32,10,3
177.78,11,3
180.73,1,3
202.18,1,3
159.31,10,3
166.8,10,3
177.09,7,3
170.6,3,3
190.14,13,3
201.05,9,3
174.91,14,3
168.01,15,3
152.99,6,3
145.17,15,3
174.44,9,3
181.52,14,3
185.27,9,3
176.37,11,3
159.92,15,3
150.21,1,3
152.6,15,3
197.71,9,3
174.78,4,3
156.2,4,3
174.5,6,3
210.4,10,3
200.05,9,3
164.96,5,3
176.5,11,3
192.86,21,3
188.22,8,3
178.57,17,3
203.38,8,3
192.32,14,3
176.15,9,3
156.61,20,3
176.51,14,3
190.66,7,3
154.62,5,3
162.97,15,3
207.96,7,3
176.65,11,3
164.56,0,3
203.41,7,3
182.19,15,3
201.68,16,3
135.38,8,3
153.45,1,3
182.71,11,3
177.44,4,3
208.52,5,3
175.58,11,3
161.6,6,3
168.09,12,3
168.77,10,3
158.86,14,3
182.16,6,3
199.42,8,3
172.99,10,3
182.44,10,3
166.96,8,3
153.58,12,3
185.68,18,3
214.8,20,3
185.39,20,3
169.35,19,3
181.75,10,3
159.89,17,3
196.52,12,3
169.65,14,3
192.21,8,3
180.29,20,3
222.08,11,3
165.1,13,3
212.75,9,3
170.64,13,3
196.2,14,3
189.99,12,3
208.96,10,3
219.39,1,3
188.25,10,3
187.13,12,3
187.28,8,3
192.74,13,3
211.2,8,3
189.88,9,3
165.58,6,3
191.88,7,3
194.22,12,3
167.22,2,3
185.37,14,3
203.8,22,3
167.05,10,3
177.48,19,3
170.22,16,3
209.76,18,3
160.04,10,3
176.17,5,3
170.91,12,3
176.14,5,3
168.03,9,3
